Line Group.1 Group.2 x weekmax weekmin e abnm
479 2 2009 3287142.85714286 3370000 3200000 NA -0.166205205198499
480 3 2009 3472857.14285714 3560000 3400000 NA -0.174100452576261
481 4 2009 3768571.42857143 3910000 3610000 NA 0.280208340415643
482 5 2009 4058571.42857143 4120000 3950000 NA 0.662399884945772
483 6 2009 4048571.42857143 4090000 4020000 NA 0.28577246987523
484 7 2009 4041428.57142857 4060000 4030000 NA 0.0474753859631929
485 8 2009 4064285.71428571 4100000 3980000 NA -0.0635943076265072
486 9 2009 3820000 3930000 3720000 NA -0.633587549503756
487 10 2009 3762857.14285714 3780000 3730000 NA -0.659350865247538
488 11 2009 3860000 3960000 3780000 NA -0.546792111093738
489 12 2009 3978571.42857143 4e+06 3960000 NA -0.362496307139999
490 13 2009 3970000 4e+06 3930000 NA -0.266750196603121
491 14 2009 3917142.85714286 3930000 3900000 NA -0.0702445006998687
492 15 2009 4221428.57142857 4460000 3990000 NA 0.988189719502483
493 16 2009 4652857.14285714 4750000 4530000 NA 2.31763170678078
494 17 2009 4497142.85714286 4750000 4210000 NA 2.13443201173334
495 18 2009 3974285.71428571 4150000 3820000 NA 1.36122777752423
496 19 2009 3708571.42857143 3790000 3650000 NA 1.22951452317679
497 20 2009 3604285.71428571 3630000 3580000 NA 1.31512076016594
498 21 2009 3547142.85714286 3570000 3520000 NA 1.29995786565989
499 22 2009 3490000 3510000 3470000 NA 1.23111121431981
500 23 2009 3324285.71428571 3470000 3180000 NA 1.27236889107578
501 24 2009 3008571.42857143 3140000 2910000 NA 1.13872517678522
502 25 2009 2762857.14285714 2870000 2670000 NA 1.10100827372195
503 26 2009 2610000 2650000 2590000 NA 1.24508208455791
504 27 2009 2492857.14285714 2600000 2410000 NA 1.40104533485859
505 28 2009 2310000 2390000 2220000 NA 1.41324639135578
506 29 2009 2135714.28571429 2190000 2080000 NA 1.28709887422153
507 30 2009 2034285.71428571 2050000 2010000 NA 1.32328765307785
508 31 2009 1955714.28571429 1990000 1880000 NA 1.43671185412305
509 32 2009 1787142.85714286 1850000 1720000 NA 1.15065546394728
510 33 2009 1675714.28571429 1700000 1670000 NA 0.970053819311217
511 34 2009 1648571.42857143 1670000 1640000 NA 1.12211073496026
